구분,고객번호,구분1,본부명,센터,팀,국사
대상,1710012090,무선,강북/강원,강북/강원ICT기술담당,엔지니어링기술부,강원교환국사
대상,0135338560,#N/A,강북/강원,강북/강원코어운용센터,전원기술부,혜화
대상,0135152769,#N/A,강북/강원,서울강북액세스운용센터,원효운용팀,아현
대상,0135153232,#N/A,강북/강원,서울강북액세스운용센터,은평운용팀,은평
대상,0135144369,#N/A,강북/강원,서울강북액세스운용센터,광진운용팀,성수
대상,0135143985,#N/A,강북/강원,서울강북액세스운용센터,광진운용팀,행당
대상,0135142940,#N/A,강북/강원,서울강북액세스운용센터,전농운용팀,전농
대상,0135287641,#N/A,강북/강원,서울강북액세스운용센터,중랑운용팀,신내
대상,0143938498,#N/A,강북/강원,서울강북액세스운용센터,도봉운용팀,강북
대상,0135132087,#N/A,강북/강원,서울강북액세스운용센터,도봉운용팀,도봉
대상,0135147785,#N/A,강북/강원,서울강북액세스운용센터,월곡운용팀,월곡
대상,0135134539,estate,강북/강원,서울강북액세스운용센터,노원운용팀,노원(본동)
대상,1710015328,estate,강북/강원,강원액세스운용센터,원주운용팀,남원주(본동)
대상,0710046803,estate,강북/강원,강원액세스운용센터,원주운용팀,대화
대상,1710012009,#N/A,강북/강원,강원액세스운용센터,원주운용팀,원주
대상,0710034683,#N/A,강북/강원,강원액세스운용센터,강릉운용팀,동강릉
대상,0710027307,#N/A,강북/강원,강원액세스운용센터,강릉운용팀,서강릉
대상,0710046331,#N/A,강북/강원,강원액세스운용센터,강릉운용팀,정선
대상,0710016275,#N/A,강북/강원,강원액세스운용센터,동해운용팀,동해
대상,0710015560,#N/A,강북/강원,강원액세스운용센터,속초운용팀,속초
대상,0710006204,#N/A,강북/강원,강원액세스운용센터,속초운용팀,양양
대상,1710023462,#N/A,강북/강원,강원액세스운용센터,춘천운용팀,철원
대상,1710008443,#N/A,강북/강원,강원액세스운용센터,춘천운용팀,춘천
대상,1710028582,#N/A,강북/강원,강원액세스운용센터,춘천운용팀,화천
대상,1016222917,#N/A,강북/강원,경기북부액세스운용센터,의정부운용팀,동의정부
대상,1016223364,estate,강북/강원,경기북부액세스운용센터,의정부운용팀,의정부(본동)
대상,1016033131,#N/A,강북/강원,경기북부액세스운용센터,구리운용팀,구리
대상,1016071367,#N/A,강북/강원,경기북부액세스운용센터,동두천운용팀,동두천
대상,1016005661,#N/A,강북/강원,경기북부액세스운용센터,동두천운용팀,포천
대상,1016228877,estate,강북/강원,경기북부액세스운용센터,일산운용팀,고양
대상,1016230409,#N/A,강북/강원,경기북부액세스운용센터,일산운용팀,일산
대상,1016076228,#N/A,강북/강원,경기북부액세스운용센터,파주운용팀,문산
대상,1016145378,#N/A,강북/강원,경기북부액세스운용센터,파주운용팀,파주
대상,1016085174,estate,강북/강원,경기북부액세스운용센터,덕양운용팀,능곡(본동)
대상,0227067893,#N/A,강북/강원,기타,기타,화성송신소
